Timesteps,Simulation_2026-04-07_19-56-50,Simulation_2026-04-07_19-56-59,Simulation_2026-04-07_19-57-02,Simulation_2026-04-07_19-57-05,Simulation_2026-04-07_19-57-07
492,30,30,30,30,30
493,30,30,30,30,30
494,30,30,30,30,30
495,30,30,30,30,30
496,30,30,30,30,30
497,30,30,30,30,30
498,30,30,30,30,30
499,30,30,30,30,30
500,30,30,30,30,30
501,30,30,30,30,30
502,30,30,30,30,30
503,30,30,30,30,30
504,30,30,30,30,30
505,30,30,30,30,30
506,30,30,30,30,30
507,30,30,30,30,30
508,30,30,30,30,30
509,30,30,30,30,30
510,30,30,30,30,30
511,30,30,30,30,30
512,30,30,30,30,30
513,30,30,30,30,30
514,30,30,30,30,30
515,30,30,30,30,30
516,30,30,30,30,30
517,30,30,30,30,30
518,30,30,30,30,30
519,30,30,30,30,30
520,30,30,30,30,30
521,30,30,30,30,30
522,30,30,30,30,30
523,30,30,30,30,30
524,30,30,30,30,30
525,30,30,30,30,30
526,30,30,30,30,30
527,30,30,30,30,30
528,30,30,30,30,30
529,30,30,30,30,30
530,30,30,30,30,30
531,30,30,30,30,30
532,30,30,30,30,30
533,30,30,30,30,30
534,30,30,30,30,30
535,30,30,30,30,30
536,30,30,30,30,30
537,30,30,30,30,30
538,30,30,30,30,30
539,30,30,30,30,30
540,30,30,30,30,30
541,30,30,30,30,30
542,30,30,30,30,30
543,30,30,30,30,30
544,30,30,30,30,30
545,30,30,30,30,30
546,30,30,30,30,30
547,30,30,30,30,30
548,30,30,30,30,30
549,30,30,30,30,30
550,30,30,30,30,30
551,30,30,30,30,30
552,30,30,30,30,30
553,30,30,30,30,30
554,30,30,30,30,30
555,30,30,30,30,30
556,30,30,30,30,30
557,30,30,30,30,30
558,30,30,30,30,30
559,30,30,30,30,30
560,30,30,30,30,30
561,30,30,30,30,30
562,30,30,30,30,30
563,30,30,30,30,30
564,30,30,30,30,30
565,30,30,30,30,30
566,30,30,30,30,30
567,30,30,30,30,30
568,30,30,30,30,30
569,30,30,30,30,30
570,30,30,30,30,30
571,30,30,30,30,30
572,30,30,30,30,30
573,30,30,30,30,30
574,30,30,30,30,30
575,30,30,30,30,30
576,30,30,30,30,30
577,30,30,30,30,30
578,30,30,30,30,30
579,30,30,30,30,30
580,30,30,30,30,30
581,30,30,30,30,30
582,30,30,30,30,30
583,30,30,30,30,30
584,30,30,30,30,30
585,30,30,30,30,30
586,30,30,30,30,30
587,30,30,30,30,30
588,30,30,30,30,30
589,30,30,30,30,30
590,30,30,30,30,30
591,30,30,30,30,30
592,30,30,30,30,30
593,30,30,30,30,30
594,30,30,30,30,30
595,30,30,30,30,30
596,30,30,30,30,30
597,30,30,30,30,30
598,30,30,30,30,30
599,30,30,30,30,30
600,30,30,30,30,30
601,30,30,30,30,30
602,30,30,30,30,30
603,30,30,30,30,30
604,30,30,30,30,30
605,30,30,30,30,30
606,30,30,30,30,30
607,30,30,30,30,30
608,30,30,30,30,30
609,30,30,30,30,30
610,30,30,30,30,30
611,30,30,30,30,30
612,30,30,30,30,30
613,30,30,30,30,30
614,30,30,30,30,30
615,30,30,30,30,30
616,30,30,30,30,30
617,30,30,30,30,30
618,30,30,30,30,30
619,30,30,30,30,30
620,30,30,30,30,30
621,30,30,30,30,30
622,30,30,30,30,30
623,30,30,30,30,30
624,30,30,30,30,30
625,30,30,30,30,30
626,30,30,30,30,30
627,30,30,30,30,30
628,30,30,30,30,30
629,30,30,30,30,30
630,30,30,30,30,30
631,30,30,30,30,30
632,30,30,30,30,30
633,30,30,30,30,30
634,30,30,30,30,30
635,30,30,30,30,30
636,30,30,30,30,30
637,30,30,30,30,30
638,30,30,30,30,30
639,30,30,30,30,30
640,30,30,30,30,30
641,30,30,30,30,30
642,30,30,30,30,30
643,30,30,30,30,30
644,30,30,30,30,30
645,30,30,30,30,30
646,30,30,30,30,30
647,30,30,30,30,30
648,30,30,30,30,30
649,30,30,30,30,30
650,30,30,30,30,30
651,30,30,30,30,30
652,30,30,30,30,30
653,30,30,30,30,30
654,30,30,30,30,30
655,30,30,30,30,30
656,30,30,30,30,30
657,30,30,30,30,30
658,30,30,30,30,30
659,30,30,30,30,30
660,30,30,30,30,30
661,30,30,30,30,30
