Filename,Runtime_minutes,Unnamed: 3
Benchmark_Analysis.o2004865.288,69.88636667,
Benchmark_Analysis.o2004865.289,76.08416667,
Benchmark_Analysis.o2004865.29,75.15768333,
Benchmark_Analysis.o2004865.290,78.51345,
Benchmark_Analysis.o2004865.291,76.41116667,
Benchmark_Analysis.o2004865.292,77.91576667,
Benchmark_Analysis.o2004865.293,70.84436667,
Benchmark_Analysis.o2004865.294,77.52855,
Benchmark_Analysis.o2004865.295,68.43125,
Benchmark_Analysis.o2004865.296,76.76405,
Benchmark_Analysis.o2004865.297,76.63405,
Benchmark_Analysis.o2004865.298,80.6179,
Benchmark_Analysis.o2004865.299,73.70108333,
Benchmark_Analysis.o2004865.3,74.38785,
Benchmark_Analysis.o2004865.30,75.01943333,
Benchmark_Analysis.o2004865.300,74.74833333,
Benchmark_Analysis.o2004865.301,75.81106667,
Benchmark_Analysis.o2004865.302,74.04905,
Benchmark_Analysis.o2004865.303,72.986,
Benchmark_Analysis.o2004865.304,71.21243333,
Benchmark_Analysis.o2004865.305,71.0545,
Benchmark_Analysis.o2004865.306,74.78001667,
Benchmark_Analysis.o2004865.307,75.21548333,
Benchmark_Analysis.o2004865.308,75.30688333,
Benchmark_Analysis.o2004865.309,72.68368333,
Benchmark_Analysis.o2004865.31,77.73966667,
Benchmark_Analysis.o2004865.310,74.99483333,
Benchmark_Analysis.o2004865.32,76.26693333,
Benchmark_Analysis.o2004865.33,77.87711667,
Benchmark_Analysis.o2004865.34,75.49316667,
Benchmark_Analysis.o2004865.35,70.20011667,
Benchmark_Analysis.o2004865.36,78.15366667,
Benchmark_Analysis.o2004865.37,68.73133333,
Benchmark_Analysis.o2004865.38,76.0625,
Benchmark_Analysis.o2004865.39,75.81005,
Benchmark_Analysis.o2004865.4,75.19171667,
Benchmark_Analysis.o2004865.40,75.78373333,
Benchmark_Analysis.o2004865.41,79.15611667,
Benchmark_Analysis.o2004865.42,77.79695,
Benchmark_Analysis.o2004865.43,75.77068333,
Benchmark_Analysis.o2004865.44,67.11021667,
Benchmark_Analysis.o2004865.45,78.20381667,
Benchmark_Analysis.o2004865.46,74.51205,
Benchmark_Analysis.o2004865.47,76.89278333,
Benchmark_Analysis.o2004865.48,77.47315,
Benchmark_Analysis.o2004865.49,73.56185,
Benchmark_Analysis.o2004865.5,77.5216,
Benchmark_Analysis.o2004865.50,68.3943,
Benchmark_Analysis.o2004865.51,72.83891667,
Benchmark_Analysis.o2004865.52,79.26535,
Benchmark_Analysis.o2004865.53,73.66858333,
Benchmark_Analysis.o2004865.54,75.73988333,
Benchmark_Analysis.o2004865.55,78.42671667,
Benchmark_Analysis.o2004865.56,73.70986667,
Benchmark_Analysis.o2004865.57,75.57995,
Benchmark_Analysis.o2004865.58,79.66703333,
Benchmark_Analysis.o2004865.59,78.11751667,
Benchmark_Analysis.o2004865.6,71.1574,
Benchmark_Analysis.o2004865.60,77.5075,
Benchmark_Analysis.o2004865.61,74.9494,
Benchmark_Analysis.o2004865.62,75.82543333,
Benchmark_Analysis.o2004865.63,72.02248333,
Benchmark_Analysis.o2004865.64,73.4109,
Benchmark_Analysis.o2004865.65,76.71245,
Benchmark_Analysis.o2004865.66,76.58116667,
Benchmark_Analysis.o2004865.67,78.24185,
Benchmark_Analysis.o2004865.68,69.5267,
Benchmark_Analysis.o2004865.69,73.93346667,
Benchmark_Analysis.o2004865.7,75.06321667,
Benchmark_Analysis.o2004865.70,72.30351667,
Benchmark_Analysis.o2004865.71,74.55326667,
Benchmark_Analysis.o2004865.72,73.0747,
Benchmark_Analysis.o2004865.73,73.67528333,
Benchmark_Analysis.o2004865.74,74.19723333,
Benchmark_Analysis.o2004865.75,77.58685,
Benchmark_Analysis.o2004865.76,73.35991667,
Benchmark_Analysis.o2004865.77,76.7675,
Benchmark_Analysis.o2004865.78,72.60866667,
Benchmark_Analysis.o2004865.79,74.85481667,
Benchmark_Analysis.o2004865.8,75.60185,
Benchmark_Analysis.o2004865.80,76.63541667,
Benchmark_Analysis.o2004865.81,74.76153333,
Benchmark_Analysis.o2004865.82,74.902,
Benchmark_Analysis.o2004865.83,76.3713,
Benchmark_Analysis.o2004865.84,73.04748333,
Benchmark_Analysis.o2004865.85,80.62966667,
Benchmark_Analysis.o2004865.86,73.35076667,
Benchmark_Analysis.o2004865.87,69.53108333,
Benchmark_Analysis.o2004865.88,78.75493333,
Benchmark_Analysis.o2004865.89,68.80471667,
Benchmark_Analysis.o2004865.9,69.99651667,
Benchmark_Analysis.o2004865.90,81.25025,
Benchmark_Analysis.o2004865.91,75.1058,
Benchmark_Analysis.o2004865.92,74.01383333,
Benchmark_Analysis.o2004865.93,78.28871667,
Benchmark_Analysis.o2004865.94,76.60061667,
Benchmark_Analysis.o2004865.95,78.29755,
Benchmark_Analysis.o2004865.96,74.98771667,
Benchmark_Analysis.o2004865.97,77.088,
Benchmark_Analysis.o2004865.98,78.18645,
Benchmark_Analysis.o2004865.99,77.14021667,
