Timesteps,Simulation_2026-03-20_09-45-34,Simulation_2026-03-20_09-46-02,Simulation_2026-03-20_09-46-04,Simulation_2026-03-20_09-46-06,Simulation_2026-03-20_09-46-08
489,30,30,30,30,30
490,30,30,30,30,30
491,30,30,30,30,30
492,30,30,30,30,30
493,30,30,30,30,30
494,30,30,30,30,30
495,30,30,30,30,30
496,30,30,30,30,30
497,30,30,30,30,30
498,30,30,30,30,30
499,30,30,30,30,30
500,30,30,30,30,30
501,30,30,30,30,30
502,30,30,30,30,30
503,30,30,30,30,30
504,30,30,30,30,30
505,30,30,30,30,30
506,30,30,30,30,30
507,30,30,30,30,30
508,30,30,30,30,30
509,30,30,30,30,30
510,30,30,30,30,30
511,30,30,30,30,30
512,30,30,30,30,30
513,30,30,30,30,30
514,30,30,30,30,30
515,30,30,30,30,30
516,30,30,30,30,30
517,30,30,30,30,30
518,30,30,30,30,30
519,30,30,30,30,30
520,30,30,30,30,30
521,30,30,30,30,30
522,30,30,30,30,30
523,30,30,30,30,30
524,30,30,30,30,30
525,30,30,30,30,30
526,30,30,30,30,30
527,30,30,30,30,30
528,30,30,30,30,30
529,30,30,30,30,30
530,30,30,30,30,30
531,30,30,30,30,30
532,30,30,30,30,30
533,30,30,30,30,30
534,30,30,30,30,30
535,30,30,30,30,30
536,30,30,30,30,30
537,30,30,30,30,30
538,30,30,30,30,30
539,30,30,30,30,30
540,30,30,30,30,30
541,30,30,30,30,30
542,30,30,30,30,30
543,30,30,30,30,30
544,30,30,30,30,30
545,30,30,30,30,30
546,30,30,30,30,30
547,30,30,30,30,30
548,30,30,30,30,30
549,30,30,30,30,30
550,30,30,30,30,30
551,30,30,30,30,30
552,30,30,30,30,30
553,30,30,30,30,30
554,30,30,30,30,30
555,30,30,30,30,30
556,30,30,30,30,30
557,30,30,30,30,30
558,30,30,30,30,30
559,30,30,30,30,30
560,30,30,30,30,30
561,30,30,30,30,30
562,30,30,30,30,30
563,30,30,30,30,30
564,30,30,30,30,30
565,30,30,30,30,30
566,30,30,30,30,30
567,30,30,30,30,30
568,30,30,30,30,30
569,30,30,30,30,30
570,30,30,30,30,30
571,30,30,30,30,30
572,30,30,30,30,30
573,30,30,30,30,30
574,30,30,30,30,30
575,30,30,30,30,30
576,30,30,30,30,30
577,30,30,30,30,30
578,30,30,30,30,30
579,30,30,30,30,30
580,30,30,30,30,30
581,30,30,30,30,30
582,30,30,30,30,30
583,30,30,30,30,30
584,30,30,30,30,30
585,30,30,30,30,30
586,30,30,30,30,30
587,30,30,30,30,30
588,30,30,30,30,30
589,30,30,30,30,30
590,30,30,30,30,30
591,30,30,30,30,30
592,30,30,30,30,30
593,30,30,30,30,30
594,30,30,30,30,30
595,30,30,30,30,30
596,30,30,30,30,30
597,30,30,30,30,30
598,30,30,30,30,30
599,30,30,30,30,30
600,30,30,30,30,30
601,30,30,30,30,30
602,30,30,30,30,30
603,30,30,30,30,30
604,30,30,30,30,30
605,30,30,30,30,30
606,30,30,30,30,30
607,30,30,30,30,30
608,30,30,30,30,30
609,30,30,30,30,30
610,30,30,30,30,30
611,30,30,30,30,30
612,30,30,30,30,30
613,30,30,30,30,30
614,30,30,30,30,30
615,30,30,30,30,30
616,30,30,30,30,30
617,30,30,30,30,30
618,30,30,30,30,30
619,30,30,30,30,30
620,30,30,30,30,30
621,30,30,30,30,30
622,30,30,30,30,30
623,30,30,30,30,30
624,30,30,30,30,30
625,30,30,30,30,30
626,30,30,30,30,30
627,30,30,30,30,30
628,30,30,30,30,30
629,30,30,30,30,30
630,30,30,30,30,30
631,30,30,30,30,30
632,30,30,30,30,30
633,30,30,30,30,30
634,30,30,30,30,30
635,30,30,30,30,30
636,30,30,30,30,30
637,30,30,30,30,30
638,30,30,30,30,30
639,30,30,30,30,30
640,30,30,30,30,30
641,30,30,30,30,30
642,30,30,30,30,30
643,30,30,30,30,30
644,30,30,30,30,30
645,30,30,30,30,30
646,30,30,30,30,30
647,30,30,30,30,30
648,30,30,30,30,30
649,30,30,30,30,30
650,30,30,30,30,30
651,30,30,30,30,30
652,30,30,30,30,30
653,30,30,30,30,30
654,30,30,30,30,30
655,30,30,30,30,30
656,30,30,30,30,30
657,30,30,30,30,30
658,30,30,30,30,30
659,30,30,30,30,30
660,30,30,30,30,30
661,30,30,30,30,30
662,30,30,30,30,30
663,30,30,30,30,30
664,30,30,30,30,30
665,30,30,30,30,30
666,30,30,30,30,30
667,30,30,30,30,30
668,30,30,30,30,30
669,30,30,30,30,30
670,30,30,30,30,30
671,30,30,30,30,30
672,30,30,30,30,30
673,30,30,30,30,30
674,30,30,30,30,30
675,30,30,30,30,30
676,30,30,30,30,30
677,30,30,30,30,30
678,30,30,30,30,30
679,30,30,30,30,30
680,30,30,30,30,30
681,30,30,30,30,30
682,30,30,30,30,30
683,30,30,30,30,30
684,30,30,30,30,30
685,30,30,30,30,30
686,30,30,30,30,30
687,30,30,30,30,30
688,30,30,30,30,30
689,30,30,30,30,30
690,30,30,30,30,30
691,30,30,30,30,30
692,30,30,30,30,30
693,30,30,30,30,30
694,30,30,30,30,30
695,30,30,30,30,30
696,30,30,30,30,30
697,30,30,30,30,30
698,30,30,30,30,30
699,30,30,30,30,30
700,30,30,30,30,30
701,30,30,30,30,30
702,30,30,30,30,30
703,30,30,30,30,30
704,30,30,30,30,30
705,30,30,30,30,30
706,30,30,30,30,30
707,30,30,30,30,30
708,30,30,30,30,30
709,30,30,30,30,30
710,30,30,30,30,30
711,30,30,30,30,30
712,30,30,30,30,30
713,30,30,30,30,30
714,30,30,30,30,30
715,30,30,30,30,30
716,30,30,30,30,30
717,30,30,30,30,30
718,30,30,30,30,30
719,30,30,30,30,30
720,30,30,30,30,30
721,30,30,30,30,30
722,30,30,30,30,30
723,30,30,30,30,30
724,30,30,30,30,30
725,30,30,30,30,30
726,30,30,30,30,30
727,30,30,30,30,30
728,30,30,30,30,30
729,30,30,30,30,30
730,30,30,30,30,30
731,30,30,30,30,30
732,30,30,30,30,30
733,30,30,30,30,30
734,30,30,30,30,30
735,30,30,30,30,30
736,30,30,30,30,30
737,30,30,30,30,30
738,30,30,30,30,30
739,30,30,30,30,30
740,30,30,30,30,30
741,30,30,30,30,30
742,30,30,30,30,30
743,30,30,30,30,30
744,30,30,30,30,30
745,30,30,30,30,30
746,30,30,30,30,30
747,30,30,30,30,30
748,30,30,30,30,30
749,30,30,30,30,30
750,30,30,30,30,30
751,30,30,30,30,30
752,30,30,30,30,30
753,30,30,30,30,30
754,30,30,30,30,30
755,30,30,30,30,30
756,30,30,30,30,30
757,30,30,30,30,30
758,30,30,30,30,30
759,30,30,30,30,30
760,30,30,30,30,30
761,30,30,30,30,30
762,30,30,30,30,30
763,30,30,30,30,30
764,30,30,30,30,30
765,30,30,30,30,30
766,30,30,30,30,30
767,30,30,30,30,30
768,30,30,30,30,30
769,30,30,30,30,30
770,30,30,30,30,30
771,30,30,30,30,30
772,30,30,30,30,30
773,30,30,30,30,30
774,30,30,30,30,30
775,30,30,30,30,30
776,30,30,30,30,30
777,30,30,30,30,30
778,30,30,30,30,30
779,30,30,30,30,30
780,30,30,30,30,30
781,30,30,30,30,30
782,30,30,30,30,30
783,30,30,30,30,30
784,30,30,30,30,30
785,30,30,30,30,30
786,30,30,30,30,30
787,30,30,30,30,30
788,30,30,30,30,30
789,30,30,30,30,30
790,30,30,30,30,30
791,30,30,30,30,30
792,30,30,30,30,30
793,30,30,30,30,30
794,30,30,30,30,30
795,30,30,30,30,30
796,30,30,30,30,30
797,30,30,30,30,30
798,30,30,30,30,30
799,30,30,30,30,30
800,30,30,30,30,30
801,30,30,30,30,30
802,30,30,30,30,30
803,30,30,30,30,30
804,30,30,30,30,30
805,30,30,30,30,30
806,30,30,30,30,30
807,30,30,30,30,30
808,30,30,30,30,30
809,30,30,30,30,30
810,30,30,30,30,30
811,30,30,30,30,30
812,30,30,30,30,30
813,30,30,30,30,30
814,30,30,30,30,30
815,30,30,30,30,30
816,30,30,30,30,30
817,30,30,30,30,30
818,30,30,30,30,30
819,30,30,30,30,30
820,30,30,30,30,30
821,30,30,30,30,30
822,30,30,30,30,30
823,30,30,30,30,30
824,30,30,30,30,30
825,30,30,30,30,30
826,30,30,30,30,30
827,30,30,30,30,30
828,30,30,30,30,30
829,30,30,30,30,30
830,30,30,30,30,30
831,30,30,30,30,30
832,30,30,30,30,30
833,30,30,30,30,30
834,30,30,30,30,30
835,30,30,30,30,30
836,30,30,30,30,30
837,30,30,30,30,30
838,30,30,30,30,30
839,30,30,30,30,30
840,30,30,30,30,30
841,30,30,30,30,30
842,30,30,30,30,30
843,30,30,30,30,30
844,30,30,30,30,30
845,30,30,30,30,30
846,30,30,30,30,30
847,30,30,30,30,30
848,30,30,30,30,30
849,30,30,30,30,30
850,30,30,30,30,30
851,30,30,30,30,30
852,30,30,30,30,30
853,30,30,30,30,30
854,30,30,30,30,30
855,30,30,30,30,30
856,30,30,30,30,30
857,30,30,30,30,30
858,30,30,30,30,30
859,30,30,30,30,30
860,30,30,30,30,30
861,30,30,30,30,30
862,30,30,30,30,30
863,30,30,30,30,30
864,30,30,30,30,30
865,30,30,30,30,30
